id,value
ROOT,
ROOT.ServiceObject,
ROOT.ServiceObject.AAAIService,4
ROOT.ServiceObject.AcquisitionService,5
ROOT.ServiceObject.AnnotationService,6
ROOT.ServiceObject.CatalogueService,7
ROOT.ServiceObject.CoordinationService,8
ROOT.ServiceObject.DataTransferService,9
ROOT.ServiceObject.PIDService,10
ROOT.CV_SimpleOperation,
ROOT.CV_SimpleOperation.AcquireIdentifier,12
ROOT.CV_SimpleOperation.AnnotateData,13
ROOT.CV_SimpleOperation.AuthoriseAction,14
ROOT.CV_SimpleOperation.CalibrateInstrument,15
ROOT.CV_SimpleOperation.ConfigureController,16
ROOT.CV_SimpleOperation.CoordinateProcess,17
ROOT.CV_SimpleOperation.ExportMetadata,18
ROOT.CV_SimpleOperation.PrepareDataTransfer,19
ROOT.CV_SimpleOperation.ProcessRequest,20
ROOT.CV_SimpleOperation.QueryData,21
ROOT.CV_SimpleOperation.QueryResource,22
ROOT.CV_SimpleOperation.RequestData,23
ROOT.CV_SimpleOperation.ResolveIdentifier,24
ROOT.CV_SimpleOperation.RetrieveData,25
ROOT.CV_SimpleOperation.TranslateRequest,26
ROOT.CV_SimpleOperation.UpdateCatalogue,27
ROOT.CV_SimpleOperation.UpdateModel,28
ROOT.CV_SimpleOperation.UpdateRecord,29
ROOT.CV_SimpleOperation.UpdateRegistry,30
ROOT.CV_PersistentObject,
ROOT.CV_PersistentObject.BackendObject,32
ROOT.CV_PersistentObject.BrokerObject,33
ROOT.CV_PersistentObject.ComponentObject,34
ROOT.CV_PersistentObject.ExternalResource,35
ROOT.CV_PersistentObject.PresentationObject,36
ROOT.CV_PersistentObject.ServiceObject,37
ROOT.PersistentData,
ROOT.PersistentData.BackupData,39
ROOT.PersistentData.Citation,40
ROOT.PersistentData.ConceptualModel,41
ROOT.PersistentData.MeasurementResult,42
ROOT.PersistentData.Metadata,43
ROOT.PersistentData.MetadataCatalogue,44
ROOT.PersistentData.UniqueIdentifier,45
ROOT.CV_ComplexOperation,
ROOT.CV_ComplexOperation.BrokeredDataExport,47
ROOT.CV_ComplexOperation.BrokeredDataImport,48
ROOT.CV_ComplexOperation.DataStaging,49
ROOT.CV_ComplexOperation.RawDataCollection,50
ROOT.Actor,
ROOT.Actor.CapacityManager,52
ROOT.Actor.DataCollector,53
ROOT.Actor.DataConsumer,54
ROOT.Actor.DataCurator,55
ROOT.Actor.DataOriginator,56
ROOT.Actor.DataProvider,57
ROOT.Actor.DataPublisher,58
ROOT.Actor.MeasurementModelDesigner,59
ROOT.Actor.Measurer,60
ROOT.Actor.MetadataHarvester,61
ROOT.Actor.Observer,62
ROOT.Actor.PIDManager,63
ROOT.Actor.ProcessingEnvironmentPlanner,64
ROOT.Actor.SemanticCurator,65
ROOT.Actor.SemanticMediator,66
ROOT.Actor.StorageAdministrator,67
ROOT.Actor.Technician,68
ROOT.Actor.User,69
ROOT.resource,
