id,value
ROOT,black
ROOT.ServiceObject,black
ROOT.ServiceObject.AAAIService,black
ROOT.ServiceObject.AcquisitionService,black
ROOT.ServiceObject.AnnotationService,black
ROOT.ServiceObject.CatalogueService,black
ROOT.ServiceObject.CoordinationService,black
ROOT.ServiceObject.DataTransferService,black
ROOT.ServiceObject.PIDService,black
ROOT.CV_SimpleOperation,black
ROOT.CV_SimpleOperation.AcquireIdentifier,black
ROOT.CV_SimpleOperation.AnnotateData,black
ROOT.CV_SimpleOperation.AuthoriseAction,black
ROOT.CV_SimpleOperation.CalibrateInstrument,black
ROOT.CV_SimpleOperation.ConfigureController,black
ROOT.CV_SimpleOperation.CoordinateProcess,black
ROOT.CV_SimpleOperation.ExportMetadata,black
ROOT.CV_SimpleOperation.PrepareDataTransfer,black
ROOT.CV_SimpleOperation.ProcessRequest,black
ROOT.CV_SimpleOperation.QueryData,black
ROOT.CV_SimpleOperation.QueryResource,black
ROOT.CV_SimpleOperation.RequestData,black
ROOT.CV_SimpleOperation.ResolveIdentifier,black
ROOT.CV_SimpleOperation.RetrieveData,black
ROOT.CV_SimpleOperation.TranslateRequest,black
ROOT.CV_SimpleOperation.UpdateCatalogue,black
ROOT.CV_SimpleOperation.UpdateModel,black
ROOT.CV_SimpleOperation.UpdateRecord,black
ROOT.CV_SimpleOperation.UpdateRegistry,black
ROOT.CV_PersistentObject,black
ROOT.CV_PersistentObject.BackendObject,black
ROOT.CV_PersistentObject.BrokerObject,black
ROOT.CV_PersistentObject.ComponentObject,black
ROOT.CV_PersistentObject.ExternalResource,black
ROOT.CV_PersistentObject.PresentationObject,black
ROOT.CV_PersistentObject.ServiceObject,black
ROOT.PersistentData,black
ROOT.PersistentData.BackupData,black
ROOT.PersistentData.Citation,black
ROOT.PersistentData.ConceptualModel,black
ROOT.PersistentData.MeasurementResult,black
ROOT.PersistentData.Metadata,black
ROOT.PersistentData.MetadataCatalogue,black
ROOT.PersistentData.UniqueIdentifier,black
ROOT.CV_ComplexOperation,black
ROOT.CV_ComplexOperation.BrokeredDataExport,black
ROOT.CV_ComplexOperation.BrokeredDataImport,black
ROOT.CV_ComplexOperation.DataStaging,black
ROOT.CV_ComplexOperation.RawDataCollection,black
ROOT.Actor,black
ROOT.Actor.CapacityManager,black
ROOT.Actor.DataCollector,black
ROOT.Actor.DataConsumer,black
ROOT.Actor.DataCurator,black
ROOT.Actor.DataOriginator,black
ROOT.Actor.DataProvider,black
ROOT.Actor.DataPublisher,black
ROOT.Actor.MeasurementModelDesigner,black
ROOT.Actor.Measurer,black
ROOT.Actor.MetadataHarvester,black
ROOT.Actor.Observer,black
ROOT.Actor.PIDManager,black
ROOT.Actor.ProcessingEnvironmentPlanner,black
ROOT.Actor.SemanticCurator,black
ROOT.Actor.SemanticMediator,black
ROOT.Actor.StorageAdministrator,black
ROOT.Actor.Technician,black
ROOT.Actor.User,black
ROOT.resource,black
ROOT.resource.CatalogueSystem,black
ROOT.resource.DataAcquisitionSystem,black
ROOT.resource.DataConsumer,black
ROOT.resource.DataCurationSystem,black
ROOT.resource.DataOriginator,black
ROOT.resource.DataProcessingSystem,black
ROOT.resource.DataProvider,black
ROOT.resource.DataPublishingSystem,black
ROOT.resource.DataRepository,black
ROOT.resource.DataUseSystem,black
ROOT.resource.PIDGenerator,black
ROOT.resource.ResearchInfrastructure,black
ROOT.resource.Sensor,black
ROOT.resource.SensorNetwork,black
ROOT.resource.Service,black
ROOT.resource.ServiceConsumer,black
ROOT.resource.ServiceProvider,black
ROOT.resource.ServiceRegistry,black
ROOT.resource.StorageSystem,black
ROOT.User,black
ROOT.User.Citizen,black
ROOT.User.CitizenScientist,black
ROOT.User.Consultant,black
ROOT.User.DecisionMaker,black
ROOT.User.Educator,black
ROOT.User.Engineer,black
ROOT.User.Investor,black
ROOT.User.Journalist,black
ROOT.User.PolicyMaker,black
ROOT.User.Researcher,black
ROOT.User.Scientist,black
ROOT.User.Technologist,black
ROOT.User.Trainer,black
ROOT.CV_Thing,black
ROOT.CV_Thing.ComputationalCapability,black
ROOT.Metadata,black
ROOT.Metadata.Concept,black
ROOT.Metadata.DataProvenance,black
ROOT.Metadata.MappingRule,black
ROOT.Metadata.QANotation,black
ROOT.Metadata.ServiceDescription,black
ROOT.Metadata.SpecificationOfInvestigationDesign,black
ROOT.Metadata.SpecificationOfMeasurementsOrObservations,black
ROOT.SV_Behaviour,black
ROOT.SV_Behaviour.DataAcquisitionBehaviour,black
ROOT.SV_Behaviour.DataCurationBehaviour,black
ROOT.SV_Behaviour.DataProcessingBehaviour,black
ROOT.SV_Behaviour.DataPublishingBehaviour,black
ROOT.SV_Behaviour.DataUseBehaviour,black
ROOT.community,black
ROOT.community.DataAcquisitionCommunity,black
ROOT.community.DataCurationCommunity,black
ROOT.community.DataProcessingCommunity,black
ROOT.community.DataPublishingCommunity,black
ROOT.community.DataUseCommunity,black
ROOT.Service,black
ROOT.Service.DataAnalysisService,black
ROOT.Service.DataAssimilationService,black
ROOT.Service.DataExtractionService,black
ROOT.Service.DataMiningService,black
ROOT.Service.ModellingAndSimulationService,black
ROOT.Service.WorkflowEnactmentService,black
ROOT.BrokerObject,black
ROOT.BrokerObject.DataBroker,black
ROOT.BrokerObject.SemanticBroker,black
ROOT.DataTransporter,black
ROOT.DataTransporter.DataExporter,black
ROOT.DataTransporter.DataImporter,black
ROOT.DataTransporter.DataStager,black
ROOT.IV_State,black
ROOT.IV_State.DataState,black
ROOT.IV_State.MetadataState,black
ROOT.ComponentObject,black
ROOT.ComponentObject.DataStoreController,black
ROOT.ComponentObject.InstrumentController,black
ROOT.ComponentObject.ProcessController,black
ROOT.CV_Operation,black
ROOT.CV_Operation.DataStreamOperation,black
ROOT.CV_BindingObject,black
ROOT.CV_BindingObject.DataTransporter,black
ROOT.CV_BindingObject.RawDataCollector,black
ROOT.StorageSystemBackend,black
ROOT.StorageSystemBackend.DatabaseManagementSystemBackend,black
ROOT.StorageSystemBackend.FileManagementSystemBackend,black
ROOT.DataStreamOperation,black
ROOT.DataStreamOperation.DeliverDataSet,black
ROOT.DataStreamOperation.DeliverRawData,black
ROOT.DataStreamOperation.ExportCuratedData,black
ROOT.DataStreamOperation.ImportDataForCuration,black
ROOT.DataStreamOperation.StageData,black
ROOT.Scientist,black
ROOT.Scientist.EnvironmentalScientist,black
ROOT.VirtualLaboratory,black
ROOT.VirtualLaboratory.ExperimentalLaboratory,black
ROOT.VirtualLaboratory.FieldLaboratory,black
ROOT.VirtualLaboratory.SemanticLaboratory,black
ROOT.ConceptualModel,black
ROOT.ConceptualModel.GlobalConceptualModel,black
ROOT.ConceptualModel.LocalConceptualModel,black
ROOT.IV_Action,black
ROOT.IV_Action.IV_AddMetadata,black
ROOT.IV_Action.IV_AnnotateEntity,black
ROOT.IV_Action.IV_AssignUniqueIdentifier,black
ROOT.IV_Action.IV_BuildConceptualModel,black
ROOT.IV_Action.IV_CarryOutBackup,black
ROOT.IV_Action.IV_CheckQuality,black
ROOT.IV_Action.IV_CiteData,black
ROOT.IV_Action.IV_ConvertData,black
ROOT.IV_Action.IV_DescribeService,black
ROOT.IV_Action.IV_FinalReview,black
ROOT.IV_Action.IV_PerformMapping,black
ROOT.IV_Action.IV_PerformMeasurementOrObservation,black
ROOT.IV_Action.IV_ProcessData,black
ROOT.IV_Action.IV_ProduceModel,black
ROOT.IV_Action.IV_PublishData,black
ROOT.IV_Action.IV_PublishMetadata,black
ROOT.IV_Action.IV_QueryEntity,black
ROOT.IV_Action.IV_RegisterMetadata,black
ROOT.IV_Action.IV_SetUpMappingRules,black
ROOT.IV_Action.IV_SpecifyInvestigationDesign,black
ROOT.IV_Action.IV_SpecifyMeasurementOrObservation,black
ROOT.IV_Action.IV_StoreData,black
ROOT.IV_Action.IV_TrackProvenance,black
ROOT.IV_Action.IV_VisualiseData,black
ROOT.IV_AnnotateEntity,black
ROOT.IV_AnnotateEntity.IV_AnnotateAction,black
ROOT.IV_AnnotateEntity.IV_AnnotateData,black
ROOT.IV_AnnotateEntity.IV_AnnotateMetadata,black
ROOT.IV_ProcessData,black
ROOT.IV_ProcessData.IV_DoDataMining,black
ROOT.IV_ProcessData.IV_QueryData,black
ROOT.IV_ProcessData.IV_QueryMetadata,black
ROOT.IV_ProcessData.IV_QueryProvenance,black
ROOT.IV_ProcessData.IV_ResolveAnnotation,black
ROOT.IV_QueryEntity,black
ROOT.IV_QueryEntity.IV_QueryData,black
ROOT.IV_QueryEntity.IV_QueryMetadata,black
ROOT.IV_QueryEntity.IV_QueryProvenance,black
ROOT.IV_QueryEntity.IV_ResolveAnnotation,black
ROOT.RM_Classifier,black
ROOT.RM_Classifier.LifecyclePhase,black
ROOT.Concept,black
ROOT.Concept.LocalConcept,black
ROOT.IV_Object,black
ROOT.IV_Object.PersistentData,black
ROOT.DataUseBehaviour,black
ROOT.DataUseBehaviour.SV_CoCreate,black
ROOT.DataUseBehaviour.SV_Collaborate,black
ROOT.DataUseBehaviour.SV_Contribute,black
ROOT.DataUseBehaviour.SV_UserBehaviourTracking,black
ROOT.DataUseBehaviour.SV_UserGroupWorkSupport,black
ROOT.DataUseBehaviour.SV_UserProfileManagement,black
ROOT.DataUseBehaviour.SV_UserWorkingRelationshipsManagement,black
ROOT.DataUseBehaviour.SV_UserWorkingSpaceManagement,black
ROOT.DataProcessingBehaviour,black
ROOT.DataProcessingBehaviour.SV_ComposeService,black
ROOT.DataProcessingBehaviour.SV_CoordinateService,black
ROOT.DataProcessingBehaviour.SV_CustomiseProcessingEnvironment,black
ROOT.DataProcessingBehaviour.SV_DescribeService,black
